a	b	c	d	e	f	g	h	i	j
668	1.72	1.29	14.56	2.84	4.87	2.17	10.83	1.01	0.87	6.17
669	3.19	18.83	13.37	3.07	10.37	20.42	5.03	30.91	2.71	4.71
670	9.87	1.36	7.1	3.2	19.99	3.77	2.42	15.37	3.17	15.27
671	12.9	4.06	23.92	21.14	2.09	18.8	2	19.44	2.45	3.59
672	6.94	4.43	4.84	3.75	2.78	2.13	25.16	4.35	22.1	3.53
673	18.12	14.26	8.49	6.41	1.35	24.68	1.56	27.47	9.24	5.73
674	6.76	1.13	2.06	11.39	1.78	6.73	13.94	21.35	21.69	1.39
675	5.15	5.09	27.74	3.32	6.52	20.56	18.97	5.22	4.09	6.32
676	4.66	20.22	7.95	28.4	11.55	11.22	5.77	2.67	1.87	2.79
677	3.41	28.55	8.03	1.28	10.38	2.21	6.25	1.44	14.04	8.24
678	1.21	17.46	4.41	14.41	1.62	1.73	18.96	2.57	1.66	3.64
679	2.9	8.77	2.35	3.08	8.42	20.6	21.45	31.95	33.16	11.55
680	2.19	2.29	19.42	25.79	26.68	6.54	1.98	1.02	4.35	5
681	16.29	6.58	4.59	10.83	0.86	23.22	1.96	11.47	3.92	21.34
682	15.69	1.7	16.67	27.92	4.49	2.16	1.52	18.41	1.26	3.18
683	1.28	7.94	32.73	7.76	0.96	6.48	1.61	4.72	7	8.49
684	5.94	2.91	15.31	8.79	11.64	1.59	28.44	3.21	3.32	2.82
685	7.34	1.47	18.07	1.15	1.13	2.88	1.21	1.61	1.66	3.23
686	6.67	2.18	5.43	2.72	3.42	22.11	8.45	31.32	3.05	3.86
687	4.12	8.91	8.77	6.21	14.81	2.71	1.19	1.19	1.71	12.41
688	4.61	5.94	2.81	3.2	18.63	2.39	16.06	3	9.62	1.86
689	0.93	14.37	7.88	1.69	1.62	14.77	1.99	27.56	20.81	2.21
690	27.58	10.61	9.38	17.16	5.3	24.18	6.82	2.91	14.54	17.02
691	1.07	3.71	6.76	4.91	1.88	2.33	20.2	1.24	15.76	26.49
692	6.04	0.99	5.46	17.05	1.06	3.97	12.97	5.17	18.09	9.24
693	17.14	3.68	7.98	10.1	3.14	1.71	20.74	31.86	9.5	2.47
694	7.69	1.49	6.6	5.03	1.85	15.34	1.76	10.39	5.71	21.52
695	5.17	19.71	25.92	21.33	1.32	6.02	7.63	1.55	7.17	9.85
696	6.75	2.71	23.84	5.56	7.91	6.15	1.31	23.25	4.69	14.17
697	17.15	16.51	12.28	18.01	7.29	6.71	6.66	1.8	1.52	29.32
698	1.86	8.72	30.37	1.25	4.2	7.42	1.3	19.39	20.5	1.06
699	27.27	8.82	6.81	1.99	19.82	1.9	11.19	2.57	3.4	1.67
700	4.04	6.1	8.75	1.19	11.02	1.28	1.92	7.51	2.03	5.13
701	23.46	24.24	1.02	2.42	1.19	4.57	11.06	1.38	25.69	1.61
702	24.35	23.02	29.57	1.2	31.6	6.99	2.37	1.65	12.29	7.18
703	14.03	12.71	5.36	9.4	8.38	3.03	5.31	1.64	1.87	22.2
704	9.71	6.64	9.29	18.06	2.09	1.2	5.54	12.19	1.85	1.56
705	9.8	3.19	8.68	9.84	16.41	8.98	1.39	3.21	18.43	1.39
706	1.15	0.94	12.48	10.43	2.45	24.93	1.28	5.46	7.49	2.19
707	4.45	25.4	9.5	5.95	2.49	7.94	16.12	24.34	2.22	19.35
708	5.42	4.31	8.85	23.45	29.14	1.67	7.03	5.82	16.09	5.93
709	22.29	30.25	8.56	11.35	5.45	14.67	3.79	1.74	2.41	29.88
710	11.33	0.94	13.66	16.73	5.04	29.43	27.11	14.04	22.63	24.78
711	11.59	23.83	6.92	2.92	12.1	31.64	3.2	11.29	2.58	9.54
712	5.15	1.44	10.88	1.91	16.18	30.54	1.49	26.13	1.53	4.74
713	1.84	1.57	1.08	7.56	27.4	1.17	2.85	19.28	18.3	22.63
714	13.14	3.13	1.06	2.65	1.13	1.33	10.16	4.44	9.46	1.07
715	3.68	15.6	24.77	17.53	1.11	2.41	1.22	7.63	2.22	19.69
716	4.34	2.18	5.26	6.4	1.11	1.87	5.3	2.65	1.26	11.79
717	0.93	13.27	9.17	19.09	7.53	11.19	1.82	3.83	4.08	11.96
718	1.81	6.77	0.95	8.71	2	4.82	9.38	28.94	4.84	9.3
719	4.96	7.28	10.24	2.89	8.18	4.56	31.24	32.7	16.41	28.7
720	13.86	2.77	1.05	1.42	0.97	20.11	5.27	18.96	9.01	10.87
721	1.27	22.87	14.61	16.7	1.91	1.08	7.87	6.82	10.83	19.64
722	8.14	20.93	6.42	11.21	10.35	1.87	26.25	5.61	4.79	1.99
723	23.86	25.59	9.76	16.19	32.08	4.34	1.06	7.72	9.86	13.64
724	11.31	3.28	2.31	11.33	4.34	16.15	1.37	8.19	4.3	30.31
725	2.93	2.58	1.17	1.35	10	18.44	5.33	26.16	19.92	1.3
726	18.09	13.94	28.34	1.25	1.78	4.74	10.39	1.06	7.41	1.85
727	2.82	2.78	1.55	4.31	19.08	12.63	6.05	3.01	2.17	1.39
728	6.66	30.66	1.27	1.03	4.29	1.33	20.07	10.5	1.14	11.27
729	4.69	1.31	19.04	1.12	2.28	4.41	14.46	5.47	1.54	1.66
730	1.38	2.53	21.89	17.21	2.71	14.86	4.24	9.44	1.69	1.43
731	11.14	1.66	32.64	5.83	20.76	0.95	2.83	8.65	2.28	1.2
732	6.66	8.82	21.98	13.42	2.46	15.35	1.63	22.5	3.19	15.09
733	13.93	3.76	3.06	0.84	1.91	2.53	9.21	31.3	5.25	15.83
734	1.13	26.75	16.57	3.42	26.95	1.43	15.37	1.03	2.19	20.21
735	13.13	17.88	9.91	6.66	4.34	1.2	13.02	1.29	9.31	2.09
736	2.55	3.19	1.8	15.48	15.2	15.48	3.32	1.56	4.48	15.51
737	2.84	3.89	28.23	8.26	11.6	16.1	29.22	20.7	2.92	30.76
738	15.87	6.08	13.58	0.96	23.34	6.93	7.67	11.03	18.81	1.21
739	1.18	5.65	4.24	2.72	4.18	5.39	18.27	13.77	5.96	3.16
740	1.33	2.12	1.67	10.62	4.91	11.59	2.1	11.58	5.47	4.79
741	3.29	4.44	22.66	17.02	6.2	29.27	1.12	4.17	14.42	5.64
742	6.51	3.79	7.16	13.59	7.89	3.12	10.63	20.67	30.13	1.28
743	8.21	30.33	3.01	3.97	18.47	2.29	19.96	6.52	3.79	9.4
744	2.58	11.08	19.04	8.81	7.83	6.72	3.55	20.37	6.18	3.96
745	2.01	1.92	2.84	22	1.23	1.77	10.92	0.96	12.5	3.46
746	3.28	5.59	1.32	17.84	5.31	5.07	9.83	1.13	18.17	1.65
747	5	22.82	4.39	1.76	11.89	8.71	3.66	1.14	2.74	3.1
748	18.97	8.2	3.15	3.58	18.32	10.77	2.72	1.29	10.21	4.97
749	1.62	4.71	2.92	27.21	2.29	19.22	15.39	6.24	2.28	8.11
750	11.32	3.19	5.9	13.55	18.46	1.72	2.05	3.6	20.25	7.13
751	5.47	2.3	16.06	1.32	22.21	2.23	1.66	1.4	33.22	31.85
752	20.87	3.74	1.5	11.15	9.7	22.28	18.41	5.06	24.02	29.25
753	7.46	3.92	1.94	10.42	2.89	15.51	11.48	26.86	3.59	9.17
754	1.68	28.8	1.46	3.86	10.87	14.52	29.84	11.79	4.37	4.83
755	6.15	28.37	1.63	1.31	17.98	3.08	8.11	4.18	7.5	2.73
756	2.1	4.15	1.15	1.71	1.24	16.67	15.62	1.08	9.78	12.73
757	5.41	7.04	9.95	7.85	10.62	20.23	17.78	9.53	7.12	1.2
758	2.58	1.09	3.88	13.1	9.14	1.66	25.85	15.08	3.5	5.59
759	28.94	15.78	33.3	4.17	4.09	3.75	1.11	3.19	6.22	9.57
760	5.61	31.35	4.93	5.91	31.7	6.46	8.39	10.19	30.76	3.71
761	16.46	3.49	3.37	30.41	29.67	5.19	1.11	27.66	5.88	2.92
762	2.27	4.52	5.84	13.18	7.98	1.95	29.27	1.09	2.53	5.68
763	19.28	2.37	1.67	23.11	20.26	1.46	32.03	1.57	6.06	3.32
764	1.99	27.98	0.93	2.6	1.3	7.05	2.5	5.78	1.6	10.61
765	1.85	6.99	2.62	8.61	17.34	1.44	9.45	1.95	5.43	14.77
766	1.71	8.22	3.07	0.95	7.62	20.94	27.09	6.96	7.43	19.5
767	6.86	2.05	3.46	12.01	14.97	6.11	12.74	0.93	20.3	2.66
768	13.19	5.19	2.88	2.83	4.48	15.35	1.13	18.06	9.25	28
769	20.4	26.52	6.78	1.68	26.51	2.01	3.62	2.38	2.13	1.44
770	10.91	7.15	4.36	2.01	32.86	14.48	5.25	6.77	6.25	2.54
771	4.87	1.29	5.24	1.43	27.15	6.04	7.58	1.92	10.83	1.5
772	15.31	1.48	16.66	4.24	19.96	2	11.23	8.85	2.87	1.44
773	0.92	6.73	3.71	6.63	14.29	28.49	1.19	3.73	3.56	2.11
774	35.71	4.36	4.19	3.39	3.93	4.76	9.59	5.43	26.83	1.95
775	9.56	5.99	1.12	1.21	2.12	0.94	16.84	1.66	20.83	2.73
776	3.89	1.58	0.98	2.03	28.92	11.96	15.89	4.79	2.37	1.05
777	1.06	23	2.02	1.37	2.43	8.49	1.25	6.52	1.01	28.72
778	15.54	11.58	4.28	3.63	7.13	1.07	1.2	8.33	1.91	21.77
779	2.08	17.76	1.46	1.54	3.62	7.03	3.9	5.19	28.56	5.31
780	38.07	4.03	10.52	3.1	1.62	11.21	1.06	2.46	4.72	1.11
781	23.6	7.67	3.83	7.7	3.53	1.22	2	3.44	4.46	2.41
782	12.09	3.7	6.28	1.17	1.82	1.9	6.39	10.95	2.31	1.78
783	13.4	21.13	2.47	8.55	7.05	23.81	7.34	13.55	2.05	3.26
784	4.8	9.13	1.53	1.08	9.53	2.43	3.95	2.85	12.42	6.39
785	20.74	19.69	4.42	23.36	2.09	1.97	1.79	10.55	21.35	9.19
786	1.98	1.36	9.96	6.11	4.85	9.11	2.14	29.24	1.21	14.95
787	9.62	18.76	4.22	1.22	14	5.21	2.25	19.3	2.68	1.45
788	2.85	1.27	2.26	1.76	15.6	2.9	27.23	1.19	6.91	2.84
789	4.7	5.19	17.92	8.52	9.91	1.17	8.09	1.35	16.58	6.23
790	1.33	1.74	2.38	4.81	1.19	17.53	9.25	18.98	2.37	6.02
791	1.52	9.38	1.69	1.38	1.12	1.02	9.58	5.77	21.58	5.86
792	1.51	14.34	18.73	7.54	2.06	1.15	12.73	18.76	26.88	10.9
793	24.2	1.64	2.18	1.94	3.18	22.73	11.39	4.4	2.13	17.75
794	3.38	1.85	1.08	1.78	10.15	1.72	5.37	2.27	29.95	25.62
795	6.18	19.57	2.23	3.4	11.29	27.65	1.72	12	3.58	31.54
796	7.65	1.9	23.89	12.88	2.8	1.88	11.66	4.21	1.73	4.65
797	2.85	8.03	4.82	5.2	1.38	19.64	2.02	20	3.84	2.89
798	5.81	10.47	24.29	14.05	9.07	13.28	8.53	7.79	7.13	2.07
799	18.18	17.92	8.78	4.65	3.42	6.92	18.74	5.51	27.26	21.81
800	3.96	12.21	3.39	15.33	8.9	5.83	3.04	12.12	17.5	17.93
801	19.14	4.42	30.45	1.38	2.72	2.99	3.97	3.59	1.31	5.16
802	1.04	7.21	11.74	3.1	9.21	1.33	4.94	7.58	1.69	6.06
803	32.48	0.78	18.05	10.94	11.53	2.74	21.45	24.08	1.78	20.73
804	15.3	2.14	2.74	7.48	1.28	1.92	15.41	12.71	8.14	1.6
805	2.96	1.61	11.33	3.81	1.27	8.39	2.59	14.9	14.77	31.25
806	12.73	19.84	22.75	13.97	3.81	1.52	1.28	20.5	4.69	9.4
807	2.97	1.82	6.42	15.53	2.03	1.98	24.18	1.52	8.8	9.33
808	25.9	8.33	3.21	11.34	13.69	1.75	2.65	3.71	9.3	2.98
809	3.02	15.38	3.65	2.2	10.31	2.76	26.45	25.17	1.73	2.51
810	1.14	3.02	9.64	1.21	1.07	2.74	12.24	8.58	13.77	1.18
811	3.14	4.63	14.56	1	1.89	2.73	15.43	3.41	1.19	1.08
812	3.92	3.21	21.21	10.97	1.63	1.97	1	1.83	23.26	3.37
813	3.24	2.19	28.6	19.57	3.32	10.47	12.42	2.45	3.47	1.23
814	31	19.76	7.89	24.9	6	12.64	2.49	14.41	2.05	9.68
815	3.81	1.29	11.75	19.11	30.39	20.81	26.77	1.6	8.8	2.05
816	5.61	4.94	6.49	8.57	1.35	2	30.93	26.38	7.52	3.33
817	20.65	25.06	28.86	14.27	2.33	1.06	4.55	7.61	1.25	23.04
818	25.21	6.65	19.87	6.29	18.57	10.44	3.7	6.62	16.32	14.29
819	2.23	5.37	27.76	26.96	1.14	18.28	1.28	22.73	2.61	2.59
820	12.9	19.72	4.25	1.21	26.76	11.13	4.24	7.91	15.14	3.93
821	4.15	4.97	2.81	8.34	18.37	2.24	3.76	1.15	1.67	4.28
822	7.82	1.39	1.85	1.66	5.54	5.31	3.26	1.9	23.55	22.64
823	15.31	1.56	3.67	2.42	1.95	4.22	1.12	11.49	11.54	5.77
824	15.43	1.02	1.02	3.53	2.24	1.35	5.24	1.86	1.38	1.39
825	17.71	6.77	3.01	3.88	1.37	30.74	12.35	4.58	1.46	3.3
826	1.13	1.09	23.11	1.77	22.64	6.58	4.25	1.21	12.36	0.95
827	2.46	1.54	8.58	5.74	14.21	10.47	7.51	3.55	23.58	25.61
828	2.77	1.16	4.98	6.78	7.31	5.61	15	5.61	21.5	1.07
829	2.8	4.91	3.79	5.72	5.16	2.2	6.61	2.02	6.55	29.75
830	12.72	17.07	20.91	2.66	4.02	3.48	4.33	6.67	4.3	1.34
831	12.28	1.4	2.23	2.74	30.47	4.93	11.79	2.65	2.57	1.08
832	24.04	0.92	11.18	7.58	9.31	1.24	1.41	1.08	13	10.3
833	20.27	18.66	26.97	4.87	2.71	3.23	1.67	3.21	13.16	1.12
834	15.54	7.6	10.69	3.99	1.12	8.05	6.83	10.76	11.5	6.46
835	4	1.62	2.22	17.48	7.46	7.6	8.26	4.46	16.48	3.56
836	8.61	6.57	3.23	8.52	8.63	1.39	1.46	12.14	2.54	3.77
837	1.12	27.92	3.47	3.08	5.74	1.1	4.29	5.27	4.65	9.01
838	20.4	20.58	1.57	17.12	4.92	4.12	2.01	1.34	24.8	1.51
839	25.24	7.58	2.37	7.72	1.06	21.38	1.77	6.6	25.7	1.44
840	7.29	9.03	3.76	25.38	5.15	1.12	3.93	3.16	30.13	7.08
841	24.07	14.66	15.12	2.67	5.25	4.2	1.26	21.95	29.65	10.77
842	1.66	7.5	22.91	8.52	6.61	3.65	8.27	9.52	1.85	2.67
843	2.11	1.36	6.21	1.49	28.53	24.81	13.24	1.12	5.8	20.24
844	5.87	1.86	29.69	12.18	1.26	11.57	3.4	1.53	27.04	1.53
845	6.18	20.94	8.38	7.35	11	26.34	5	1.12	3.94	2.46
846	4.35	20.71	3.19	17.93	23.42	1.91	1.12	8.09	16.85	11.78
847	0.89	14.57	3.44	6.75	1.52	1.86	23.82	22.21	4.18	13.83
848	7.85	0.99	1.01	0.95	14.2	14.15	12.6	4.74	22.05	2.61
849	9.32	20.1	5.93	4.55	8.24	2.09	1.92	1.56	7.09	13.17
850	4.11	4.64	1.54	2.04	26.65	6.97	6.26	1.41	6.78	9.05
851	32.32	16.44	1.6	2.76	4.83	13.89	19.64	16.59	8.32	4.48
852	13.65	1.74	1.62	2.63	22.46	2.06	8.75	1.81	4.35	1.08
853	1.09	11.56	1.39	5.71	13.25	21.1	8.35	1.12	1.21	2.3
854	31.93	1.67	15.87	22.66	1.51	26.12	1.59	29.89	6.48	3.53
855	2.25	13.49	7.83	1.02	1.14	8.2	2.33	30.31	11.41	20.87
856	1.1	2.14	16.08	7.61	9.41	30.42	10.5	3.87	13.75	2.23
857	2.51	1.62	27.59	5.39	11.12	6.46	5.52	4.89	10.22	26.07
858	11.86	26.99	24.35	4.47	1.5	26.19	7.84	8.68	12.33	10.9
859	2.28	7.91	1.53	13.83	13.6	4.32	21.43	1.37	3.78	24.41
860	2.46	5.09	18.83	2.74	1.7	15.76	9.04	7.61	30.59	3.39
861	1.12	1.68	3.96	24.16	1.65	8.85	11.52	2.86	2.03	5.19
862	2.5	4.36	3.67	1.06	5.06	4.08	14.74	11.95	5.72	1.42
863	11	3.71	2.72	30.86	1.08	10.92	3.19	3.21	3.17	17.63
864	1.09	26.94	3.21	2.26	4.73	18.76	2.43	19.01	5.76	13.82
865	1.21	1.77	16.44	1.11	8.22	5.19	5.14	8.21	2.03	5.77
866	3.77	18.5	7.61	8.85	1.58	1.84	26.72	19.54	8.38	25.25
867	5.76	23.91	27.87	1.21	9.11	1.23	8.04	8.96	7.74	15.92
868	8.01	20.76	3.61	17.16	1.92	10.21	3.84	24.77	10.23	22.34
869	13.12	5.71	1.51	32.06	29.07	26.96	15.13	1.16	8.87	3.53
870	1.06	4.04	2.9	21.17	22.6	7.75	4.24	23.3	1.25	1.15
871	5.15	4.67	11.01	6.99	10.09	3.97	1.15	2.2	9.45	5.1
872	28.96	1.92	12.66	15.65	8.47	2.29	16.11	10.77	10.14	12.45
873	16.74	3.14	5.73	15.62	24.89	1.33	14.31	19.16	11.9	18.9
874	2.45	25.76	1.26	4.48	2.07	11.61	1.37	5.2	4.1	8.99
875	7.3	8.25	3.9	8.82	27.92	24.23	2.07	15	3.18	1.43
876	1.17	8.55	1.65	6.72	14.96	11.5	3.94	14.97	25.52	24.73
877	2.18	5.66	8.55	1.62	18.89	10.36	26.42	6.38	29.7	1.75
878	5.52	6.64	3.39	13.25	9.91	3.09	31.49	17.73	25.19	7.22
879	12.77	2.76	3.28	8.17	11.38	9.54	1.23	6.93	2.37	5
880	29.93	7.81	3.3	1.86	9.47	1.21	8.04	9.95	1.49	12.06
881	3.33	1.08	6.16	2.33	3.18	1.41	2.44	8.41	1.71	23.87
882	29.65	1.07	2.86	2.71	9.31	1.39	4.56	2.92	9.43	6.08
883	27.42	3.74	11.36	21.85	1.23	12.48	26.33	20.34	5.62	1.93
884	22.19	1.64	4.95	22.09	4.15	2.33	6.03	5.78	14.03	17.13
885	4.97	1.16	21.9	24.04	5.42	15.14	13	24.63	6.67	19.22
886	16.27	1.82	14.05	2.56	9.38	8.81	6.89	7.76	1.39	6.61
887	15.88	8.43	1.47	10.09	14.63	17.34	3.9	1.04	5.09	7.92
888	10.46	7.31	4.11	2.39	1.88	1.8	17.52	10.39	1.2	1.67
889	8.9	8.24	17.18	29	15.33	27.66	11.5	14.43	9.22	5.18
890	2.89	21.05	3.83	15.12	6.57	1.97	15.43	4.34	2.86	10.11
891	1.01	4.77	2.1	26.33	8.75	12.32	1.69	4.43	1.96	2.14
892	0.92	12.87	16.34	9.27	6.46	0.94	16.22	1.07	9.65	1.73
893	1.46	2.23	1.23	8.09	23.22	7.67	1.61	1.11	8.47	11.35
894	1	1.46	0.97	4.28	10.67	8.57	1.48	12.58	12	2.97
895	3.55	20.67	1.09	3.56	3.93	6.43	2.11	8.83	32.12	24.19
896	1.47	1.19	1.54	1.63	18.89	2.61	1.68	2.08	8.99	4.2
897	6.94	1.02	15.94	1.34	29.73	13.95	4.01	4.95	20.35	6.63
898	1.23	1.77	7.06	12.78	16.96	14.91	1.12	18.96	13.56	10.85
899	0.85	9.97	33.23	5.74	5.76	2.34	3.09	3.77	1.84	1.39
900	1.71	5.01	2.11	1.53	1.38	1.88	24.75	2.71	6.77	13.64
901	15.89	2.68	5.84	1.44	11.25	8.18	1.37	3.41	3.4	21.48
902	12.97	5.03	4.8	4.54	12.29	21.49	6.82	1.99	11.23	5.24
903	3.32	5.92	1.13	5.98	2.62	1.84	32.06	23.64	2.23	1.34
904	1.88	2.33	11.02	1.79	17.3	18.7	11.38	15.84	1.71	2.48
905	2.87	4.18	11.04	2.24	5.14	16.57	2.14	6.84	3.69	0.98
906	1.32	14.31	2.22	15.89	5.19	26.81	6.72	1.13	4.18	30.79
907	1.27	1.91	1.67	18.39	5.33	1.19	3.86	15.73	4.7	2.11
908	1.34	26.31	7.01	11.01	2.08	15.62	16.01	5.21	1.76	6.67
909	1.65	26.85	21.95	25.25	4.63	14.81	18.9	1.3	17.58	3.65
910	1.24	3.81	30.08	2.92	19.09	2.9	28.8	2.42	6.8	2.55
911	4.9	4.21	1.35	0.95	5.92	10.11	1.76	1.02	3.18	3.07
912	14.07	2.28	16.86	3.53	3.62	10.26	1.12	19.97	20.15	4.06
913	13.86	2.91	5.71	2.02	1.55	4.89	1.76	7.45	3.33	3.67
914	0.93	1.31	7.78	22.24	3.58	7.05	8.75	2.75	7.46	14.48
915	0.88	33.22	9.55	9.38	13.88	1.11	1.63	3.09	2.63	5.22
916	4.99	7.68	1.85	4.56	8.8	16.09	27.64	2.2	19.09	12.95
917	1.62	14.63	31.04	1.85	1.32	1.59	11.18	8.46	16.69	16.56
918	11.85	1.28	6.3	4.49	1.27	4.45	1.65	1.16	4.85	1.87
919	13.06	7.82	6.39	3.5	9.42	3.57	3.92	7.55	17.84	3.58
920	23.81	7.86	11.66	1.91	7.56	2.71	13.22	5.23	1.61	1.4
921	2.62	5.89	13.81	5.51	3.53	5.17	5.55	17.43	1.13	2.02
922	33.09	14.4	19.48	13.08	15.6	10.18	6.28	13.22	2.74	4.47
923	30.22	6.08	12.38	15.3	1.37	2.19	5.13	4.52	7.53	28
924	1.18	7.33	27.69	16.59	16.95	4.23	4.32	1.14	7.18	2.83
925	23.03	3.43	3.14	9.68	10.39	3.83	8.42	1.1	4.69	5.36
926	18.61	2.26	11.32	4.16	22.55	1.23	7.44	21.07	7.67	4.02
927	10.85	2.76	2.4	12.59	1.36	4.32	14.44	27.1	15.8	19.84
928	2.5	2.19	2.19	3.17	26.9	2.04	7.67	5.53	1.6	20.44
929	5.62	18.61	30.68	2.17	28.17	1.52	5.45	4.27	14.39	5.58
930	4.85	8.33	1.96	2.51	2.65	6.66	2.27	4.75	1.08	2.54
931	8.23	11.18	13.1	5.78	11.86	25.69	1.17	2.68	1.79	1.22
932	23.46	24.99	8.51	18.56	9.92	1.15	1.76	4.63	1.46	13.62
933	2.51	9.57	3.34	2.05	16.55	5.07	2.4	15.98	14.13	32.06
934	2.85	17.35	7	1.87	1.87	3.24	16.71	2.4	3.82	3.05
935	13.14	5.15	13.64	23.59	1.19	5.05	4.25	16.93	9.03	2.09
936	14.28	7.03	11.04	3.45	1.39	9.38	3.27	17.48	3.61	27.35
937	24.71	22.12	26.87	2.42	12.86	3.38	22.65	23.41	2.66	18.7
938	4.16	27.75	6.4	12.34	2.21	13.88	2.05	11.18	2.3	26.74
939	22.61	1.29	20.05	2.08	1.62	13.89	4.3	1.3	8.08	5.54
940	2.78	9.18	20.21	1.86	16.06	1.09	29.85	4.03	6.13	2.06
941	2.21	26.05	17.02	1.26	22.66	19.03	4.65	2.13	1.31	2.91
942	24.13	1.78	6.03	2.41	8.53	4.09	8.85	2.29	1.62	1.64
943	0.78	24.64	5.75	9.56	3.89	10.32	3.15	1.69	4.41	0.94
944	4.76	1.27	2.82	3.52	2.82	1.65	6.62	21.05	1.22	16.31
945	4.43	16.33	1.62	2.32	0.96	9.7	4.97	14.79	3.89	18.55
946	4.5	16.95	5.06	0.88	15.9	0.93	4.24	28.49	15.71	1.59
947	9.38	1.42	5.62	2.69	4.03	3.1	1.38	3.42	1.94	3.83
948	16.09	1.15	5.1	8.45	9.08	7.59	2.61	1.93	13.41	23.98
949	25.93	9.32	28.36	18.04	3.4	1.29	29.38	8.95	9.24	1.49
950	15.56	3.97	19.98	6.14	11.6	1.04	13.42	1.53	5.37	3.83
951	1.52	1.61	1.5	9.78	19.41	20.04	6.72	6.61	0.9	21.89
952	1.46	8.83	1.23	6.27	2.97	3.56	1.49	7.79	7.74	23.7
953	11.51	3.64	20.03	24	6.06	1.4	9.93	5.96	6.51	4.84
954	23.38	19.31	0.97	6.19	1.89	21.85	9.18	6.37	1.14	30.84
955	6.42	2.26	2.65	21.1	7.89	3.34	25.25	28.4	3.79	17.71
956	2.28	26.13	7.79	32.46	14.66	4.23	0.99	4.42	3.08	9.66
957	19.05	1.14	0.95	2.39	11.78	6.35	3.58	7.39	11.48	1.02
958	1.84	5.58	34.04	2.88	1.09	2.9	5.71	12.12	1.92	30.17
959	5.39	2.83	1.47	1.45	13.51	12.44	5.73	2.95	5.54	22.04
960	1.26	1.51	22.67	2.13	4.75	5.35	1.5	4.64	25.99	1.6
961	2.67	1.58	5.24	1.4	6.41	10.69	5.64	18.77	8.88	3.16
962	3.88	22.29	1.05	4.77	3.22	19.65	1.79	1.39	1.57	4.88
963	1.52	6.78	30.45	8.5	3.79	1.06	31.86	2	22.05	3.9
964	8.49	7.28	10.52	3.88	22.08	9	3.42	9.06	14.98	21.41
965	2.77	2.28	16.64	1.11	1.85	4.85	5.25	1.5	11.74	23.72
966	2.23	22.45	8.76	10.39	3.36	10.24	9.92	1.24	11.87	3.01
967	3.05	4.69	15.75	2.41	6.71	27.75	7.11	9.78	4.03	15.2
968	19.8	28.19	1.04	2.81	3.26	2.53	1.78	1.36	2.37	6.68
969	30.73	28.68	17.76	3.23	1.01	2.81	4.24	12.79	9.12	1.2
970	13.39	2.7	6.83	15.17	3.38	2.71	1.36	2.92	25.67	1.01
971	27.98	1.7	2.56	1.86	3.61	1.15	16.7	2.1	8.49	2.57
972	6.89	6.67	15.07	6.02	2.72	2.95	1.63	7.14	2.71	8.65
973	4.84	1.23	28.06	3.14	1.97	12.85	22.71	29.21	21.38	6.86
974	31.35	13.66	6.97	15.8	4.89	16.81	19.14	19.97	8.94	19.42
975	1.54	5.92	2.47	17.35	1.69	32.29	1.26	29.4	11.04	1.11
976	1.4	10.46	10.34	2.68	20.53	3.89	21.92	2.63	1.77	8.5
977	1.27	1.54	1.26	6.77	15.86	2.97	7.41	2.91	7.68	1
978	7.41	25.34	9.82	1.26	23.15	31.64	8.15	25.9	1.36	7.49
979	13.93	1.84	4.26	2.42	8.05	1.39	1.34	1.53	2.79	7.96
980	14.8	9.77	21.72	12.56	3.53	23.03	4.53	5.97	9.06	6.54
981	1.7	16.95	29.08	4.44	1.94	2.69	18.84	2.29	7.88	16.8
982	1.71	1.69	18.56	5.37	8.34	1.81	24.44	15.75	1.09	2.69
983	28.11	6.64	0.95	9.32	3.07	9.12	22.36	3.25	2.93	3.72
984	3.23	4.39	4.85	5.08	1.93	21.83	5.97	3.78	6.79	21.56
985	2.03	21.58	6.24	1.81	2.39	2.49	6.01	4.37	11.45	22.43
986	5.76	4.86	2.33	1.32	4.58	2.18	23.94	22.52	12.57	11.39
987	7.62	1.43	29.83	9.67	1.93	2.33	3.37	18.64	5.37	6.06
988	2.89	16.51	1.68	4.24	7.79	19.12	4.1	14.81	19.22	2.22
989	28.37	10.11	3.71	2.41	26.67	22.76	23.14	10.24	1.14	1.09
990	6.79	5.59	9.3	3.64	22.43	12.82	1.31	1.17	8.85	1.42
991	1.47	5.18	17.68	10.86	6.46	1.23	1.68	1.81	18.8	3.09
992	5.05	24.69	1.91	1.58	21.1	28.99	26.95	2.97	2.55	3.15
993	9.01	1.59	1.51	4.73	1.6	20.37	1.84	7.05	29.84	19.13
994	2.61	3.91	0.95	4.67	18.78	2.32	1.13	8.24	15.93	17.58
995	1.54	2	1.55	3.9	24.18	12.88	25.43	2.45	2.99	3.99
996	14.39	2.3	1.91	22.2	11.25	1.27	16.86	1.69	26.87	11.7
997	7.12	4.23	1.81	3.04	4.7	1.34	16.25	8.68	23.11	1.85
998	2.47	32.53	5.58	1.32	0.95	9.92	24.95	6.11	2.39	4.2
999	1.79	5.9	5.09	2.44	1.06	3.49	2.74	1.6	2.66	2.26
1000	2.46	1.69	6.07	3.81	3.6	10.11	15.32	5.85	11.75	28.9
1001	6.75	3.06	1.03	1.02	5.25	9.91	4.3	2.96	1.79	17.11
